2026-07-05 07:09:25 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_order_items_dataset.csv'
2026-07-05 07:09:25 | INFO     | __main__ | --------------------------------
2026-07-05 07:09:25 | INFO     | __main__ | Dataset : order_payments
2026-07-05 07:09:25 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_payments_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/order_payments/order_payments.csv'
2026-07-05 07:09:37 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_order_payments_dataset.csv'
2026-07-05 07:09:37 | INFO     | __main__ | --------------------------------
2026-07-05 07:09:37 | INFO     | __main__ | Dataset : order_reviews
2026-07-05 07:09:37 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_reviews_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/order_reviews/order_reviews.csv'
2026-07-05 07:09:58 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_order_reviews_dataset.csv'
2026-07-05 07:09:58 | INFO     | __main__ | --------------------------------
2026-07-05 07:09:58 | INFO     | __main__ | Dataset : orders
2026-07-05 07:09:58 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_orders_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/orders/orders.csv'
2026-07-05 07:10:32 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_orders_dataset.csv'
2026-07-05 07:10:32 | INFO     | __main__ | --------------------------------
2026-07-05 07:10:32 | INFO     | __main__ | Dataset : products
2026-07-05 07:10:32 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_products_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/products/products.csv'
2026-07-05 07:10:36 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_products_dataset.csv'
2026-07-05 07:10:36 | INFO     | __main__ | --------------------------------
2026-07-05 07:10:36 | INFO     | __main__ | Dataset : sellers
2026-07-05 07:10:36 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_sellers_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/sellers/sellers.csv'
2026-07-05 07:10:37 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_sellers_dataset.csv'
2026-07-05 07:10:37 | INFO     | __main__ | --------------------------------
2026-07-05 07:10:37 | INFO     | __main__ | Upload Summary
2026-07-05 07:10:37 | INFO     | __main__ | Uploaded : 8
2026-07-05 07:10:37 | INFO     | __main__ | Failed   : 1
2026-07-05 07:10:37 | INFO     | __main__ | --------------------------------
2026-07-05 07:30:23 | INFO     | __main__ | Starting Raw Data Upload
2026-07-05 07:30:23 | INFO     | __main__ | --------------------------------
2026-07-05 07:30:23 | INFO     | __main__ | Dataset : category_translation
2026-07-05 07:30:23 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'product_category_name_translation.csv' (0.00 MB)
2026-07-05 07:30:23 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/category_translation/category_translation.csv
2026-07-05 07:30:29 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 6.40 seconds
2026-07-05 07:30:29 | INFO     | __main__ | --------------------------------
